CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	LEX_ENG_THIEF	SEM_ENG_THIEF	SYN_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	SEM_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	SEM_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	SEM_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_ENG_GOODS	SYN_ENG_GOODS	LEX_ENG_GOODS	SEM_ENG_GOODS	ANIMACY_ENG_GOODS	ROLE_IDN_GOODS	SYN_IDN_GOODS	LEX_IDN_GOODS	SEM_IDN_GOODS	ANIMACY_IDN_GOODS
3	Did you report it	stolen	?	Apa kau melaporkan dicuri?	TRUE	dicuri	COMPLEX_TRANS	NA	verb	NA	PASS	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	it	PRONOUN	inanimate	FALSE	NA	NA	NA	NA
4	I understand you spent time with Detective Blades looking for your car, which you reported	stolen	?	aku tahu kau sudah menghabiskan waktu bersama mencari mobil mu, yang kau laporkan dicuri?	TRUE	dicuri	COMPLEX_TRANS	GOODS-SUBJ-PASS	verb	NA	PASS	interrogative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	car	VEHICLE	inanimate	TRUE	passive_subject	mobil	VEHICLE	inanimate
5	What exactly do you believe she has	stolen	?	Apa yang dia curi?	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	interrogative	TRUE	TRUE	she	HUMAN	AV_gr_subj	animate	TRUE	OV_logical_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	what	PRONOUN	inanimate	TRUE	OV_gr_subj	apa	PRONOUN	inanimate
10	My remote control has been	stolen	.	Remote control-ku telah dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	possessive_determiner	my	HUMAN	victim	animate	TRUE	possessive_determiner	-ku	HUMAN	victim	animate	TRUE	passive_subject	remote control	ELECTRONICS	inanimate	TRUE	passive_subject	remote control	ELECTRONICS	inanimate
11	That was reported	stolen	.	Dilaporkan dicuri hari ini.	TRUE	dicuri	COMPLEX_TRANS	NA	verb	NA	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject_complex_transitive	that	PRONOUN	inanimate	FALSE	NA	NA	NA	NA
12	No, I do not think there is something being	stolen	.	Tidak, saya tidak berpikir ada sesuatu yang dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	something	PRONOUN	inanimate	TRUE	passive_subject	sesuatu	PRONOUN	inanimate
13	They'd take the jewellery they'd	stolen	.	Mereka akan mengambil perhiasan yang mereka telah curi...	TRUE	curi	GOODS-OBJ	GOODS-SUBJ-PASS	verb	AV	OV	declarative	TRUE	TRUE	they	HUMAN	AV_gr_subj	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	jewellery	ORNAMENT	inanimate	TRUE	OV_gr_subj	perhiasan	ORNAMENT	inanimate
14	Painting is	stolen	.	Lukisan itu sudah dicuri.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	passive_subject	painting	ART	inanimate	TRUE	passive_subject	lukisan	ART	inanimate
18	This is Louis Anglet... go to courier in the high-end	stolen	art market.	Ini Louis Anglet menjadi kurir dalam pasar benda-benda seni curian mahal.	TRUE	curian	NP	NP	noun	NOMINAL	NOMINAL	declarative	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	noun_modifier	art	ART	inanimate	TRUE	head_noun	benda seni	ART	inanimate
20	So, now... are you saying that a copy of the exam disappeared, but do not know which class it was, or... if it was	stolen	at the printing office?	Jadi, sekarang ... kau bilang bahwa salinan ujian menghilang, tapi tidak tahu yang mana kelas itu, atau ... Apa itu dicuri di kantor percetakan?	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	office	PLACE	source	inanimate	TRUE	pp_complement	kantor	PLACE	source	inanimate	TRUE	passive_subject	it	PRONOUN	inanimate	TRUE	passive_subject	itu	PRONOUN	inanimate
24	We've been getting a lot of calls about	stolen	cop cars.	Kami mendapatkan banyak panggilan tentang mobil polisi yang dicuri.	TRUE	dicuri	NP	GOODS-SUBJ-PASS	verb	NA	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	head_noun	car	VEHICLE	inanimate	TRUE	passive_subject	mobil	VEHICLE	inanimate
25	I would've	stolen	diamonds, laptop.	Aku sudah mencuri perhiasan, laptop.	TRUE	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	I	HUMAN	AV_gr_subj	animate	TRUE	AV_gr_subj	aku	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	TRUE	direct_object	diamonds_laptop	MINERAL_ELECTRONICS	inanimate	TRUE	direct_object	perhiasan_laptop	MINERAL_ELECTRONICS	inanimate
28	The skull was	stolen	from Akator in the 15th century.	Tengkorak itu dicuri dari Akator pada abad ke-15.	TRUE	dicuri	GOODS-SUBJ-PASS	GOODS-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	pp_complement	Akator	PLACE	source	inanimate	TRUE	pp_complement	Akator	PLACE	source	inanimate	TRUE	passive_subject	skull	BODY PART	inanimate	TRUE	passive_subject	tengkorak	BODY PART	inanimate
